[DEBUG] 2023-02-12 07:24:35.743 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-02-12 07:24:35.758 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-02-12 07:24:35.766 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-02-12 07:24:35.899 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-02-12 07:24:35.901 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-02-12 07:24:36.189 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-02-12 07:24:36.619 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-02-12 07:24:36.685 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-02-12 07:24:36.686 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-02-12 07:24:36.696 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-02-12 07:24:36.739 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3724b43e
[DEBUG] 2023-02-12 07:24:36.739 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3724b43e
[DEBUG] 2023-02-12 07:24:36.739 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3724b43e
[DEBUG] 2023-02-12 07:24:36.748 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@238bfd6c
[DEBUG] 2023-02-12 07:24:36.748 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7487b142
[DEBUG] 2023-02-12 07:24:36.749 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@27b45ea
[DEBUG] 2023-02-12 07:24:36.750 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4e1ce44
[DEBUG] 2023-02-12 07:24:36.750 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4e1ce44
[DEBUG] 2023-02-12 07:24:36.750 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4e1ce44
